snapshot,grid_power
0,-0.0
1,291.33379130506245
2,302.8894615323196
3,337.7531993015784
4,279.5210031794464
5,311.17452845967676
6,321.3648450980818
7,369.12660606880553
8,270.96169501543966
9,329.04367377014364
10,314.4510337178886
11,373.03817810939455
12,326.71984273137195
13,340.66297705575073
14,396.9957760612305
15,439.8901225703211
16,325.1898328295927
17,311.20338166871676
18,302.03200733697724
19,346.0815337015165
20,384.6895274876037
21,333.4668218966168
22,330.79706338447073
23,338.4614531110335
24,597.1863086844495
25,323.42401355089004
26,346.30222902127264
27,278.80614761805316
28,462.8008679421181
29,317.69106703358153
30,369.4510090359305
31,417.100476008182
32,507.3294404911271
33,267.2157469054023
34,308.8751247800282
35,356.2011810847374
36,273.83782312590563
37,232.39493070593298
38,223.06204358091222
39,225.08280485595247
40,33.29540419641374
41,40.48885028079789
42,37.833022223380446
43,6.0148406302229915
44,-0.0
45,-0.0
46,-0.0
47,-0.0
48,-0.0
49,-0.0
50,-0.0
51,-0.0
52,-0.0
53,60.720267002916515
54,20.845283171720737
55,104.33362957458701
56,-0.0
57,14.17743607036919
58,14.905013802094416
59,49.50304732189086
60,310.2116251598404
61,312.46014263342914
62,330.83447826265603
63,289.51880259546704
64,380.9516325559412
65,297.17463065288445
66,249.87476784638176
67,235.91451018371225
68,389.6151568580872
69,330.8489172081551
70,390.30800410441867
71,414.60023410377585
72,330.15606996182356
73,300.8178634151358
74,366.24669850521394
75,347.93865564517046
76,216.0214107146431
77,391.87540420242516
78,436.72738741897655
79,635.73874727252
80,280.5377449021325
81,297.02124508385253
82,272.95993948464775
83,438.43866848120314
84,15.721776976513866
85,360.3684195972484
86,436.82473398117935
87,450.0173393231047
88,-0.0
89,335.0396154621647
90,317.68419745764515
91,419.1459299910756
92,205.82151542555198
93,352.4843268505121
94,313.8159175715952
95,370.1514009698666
96,-0.0
97,281.33379130506245
98,307.8894615323196
99,327.7531993015784
100,279.5210031794464
101,311.17452845967676
102,321.3648450980818
103,374.12660606880553
104,270.96169501543966
105,329.04367377014364
106,314.4510337178886
107,373.03817810939455
108,321.71984273137195
109,340.66297705575073
110,386.9957760612305
111,454.8901225703211
112,325.1898328295927
113,306.20338166871676
114,307.03200733697724
115,351.0815337015165
116,384.6895274876037
117,333.4668218966168
118,360.79706338447073
119,373.4614531110335
120,642.1863086844495
121,373.42401355089004
122,371.30222902127264
123,318.80614761805316
124,482.8008679421181
125,357.69106703358153
126,414.4510090359305
127,437.100476008182
128,530.9294404911271
129,300.8157469054023
130,322.47512478002824
131,379.80118108473744
132,307.83782312590563
133,276.394930705933
134,272.06204358091225
